contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY251219C00540000,2025-05-28 17:27:41+00:00,540.0,74.49,71.84,73.76,-0.62000275,-0.82545966,2.0,4186.0,0.273444765625,True,REGULAR,USD,2025-12-19,call
SPY251219C00545000,2025-05-23 15:21:28+00:00,545.0,62.62,67.92,69.82,0.0,0.0,1.0,1668.0,0.2678906219482422,True,REGULAR,USD,2025-12-19,call
SPY251219C00550000,2025-05-28 19:57:35+00:00,550.0,64.79,64.09,65.89,-1.9899979,-2.9799309,3.0,3291.0,0.2620618228149414,True,REGULAR,USD,2025-12-19,call
SPY251219C00555000,2025-05-27 19:43:25+00:00,555.0,63.1,60.26,61.99,0.0,0.0,3.0,2591.0,0.2560956959533692,True,REGULAR,USD,2025-12-19,call
SPY251219C00560000,2025-05-28 19:51:18+00:00,560.0,57.25,56.53,58.19,-2.1899986,-3.6843853,7.0,5014.0,0.2503889659118652,True,REGULAR,USD,2025-12-19,call
SPY251219C00565000,2025-05-28 17:10:00+00:00,565.0,55.37,52.84,54.43,-0.38000107,-0.68161625,15.0,2338.0,0.24452964950561523,True,REGULAR,USD,2025-12-19,call
SPY251219C00570000,2025-05-28 19:50:37+00:00,570.0,50.05,49.23,50.76,-2.0300026,-3.8978543,5.0,5943.0,0.23882291946411133,True,REGULAR,USD,2025-12-19,call
SPY251219C00575000,2025-05-28 18:12:15+00:00,575.0,48.0,45.71,47.17,-0.20000076,-0.41493934,2.0,4347.0,0.23313907737731934,True,REGULAR,USD,2025-12-19,call
SPY251219C00580000,2025-05-28 19:47:33+00:00,580.0,43.51,42.25,43.65,-1.3400002,-2.9877374,556.0,5757.0,0.22740945938110352,True,REGULAR,USD,2025-12-19,call
SPY251219C00585000,2025-05-28 18:52:06+00:00,585.0,40.12,38.9,40.22,-1.3800011,-3.3253038,8.0,11032.0,0.22171798797607417,True,REGULAR,USD,2025-12-19,call
SPY251219C00590000,2025-05-28 19:56:12+00:00,590.0,36.2,35.64,36.9,-2.2799988,-5.925153,36.0,4746.0,0.21612569770812987,False,REGULAR,USD,2025-12-19,call
SPY251219C00595000,2025-05-28 19:47:57+00:00,595.0,33.68,32.91,33.17,-0.9700012,-2.7994263,69.0,1821.0,0.20764952514648435,False,REGULAR,USD,2025-12-19,call
SPY251219C00600000,2025-05-28 19:20:50+00:00,600.0,31.07,29.85,30.1,-0.22000122,-0.7031039,38.0,12134.0,0.2023242610168457,False,REGULAR,USD,2025-12-19,call
SPY251219C00605000,2025-05-28 19:40:19+00:00,605.0,27.4,26.96,27.08,-1.1100006,-3.8933728,209.0,5969.0,0.1966327896118164,False,REGULAR,USD,2025-12-19,call
SPY251219C00610000,2025-05-28 18:54:16+00:00,610.0,24.67,24.15,24.27,-1.0300007,-4.007785,1054.0,5576.0,0.19146011184692385,False,REGULAR,USD,2025-12-19,call
SPY251219C00615000,2025-05-28 19:08:32+00:00,615.0,22.87,21.49,21.6,0.11000061,0.4833067,17.0,8273.0,0.1863408393096924,False,REGULAR,USD,2025-12-19,call
SPY251219C00620000,2025-05-28 19:54:26+00:00,620.0,18.72,18.98,19.09,-1.960001,-9.47776,12.0,12492.0,0.181374153137207,False,REGULAR,USD,2025-12-19,call
SPY251219C00625000,2025-05-28 18:56:35+00:00,625.0,17.31,16.65,16.76,-0.5,-2.8074117,24.0,7601.0,0.17664397583007813,False,REGULAR,USD,2025-12-19,call
SPY251219C00630000,2025-05-28 19:47:57+00:00,630.0,14.97,14.51,14.61,-0.8800001,-5.552051,21.0,14815.0,0.17212741943359378,False,REGULAR,USD,2025-12-19,call
SPY251219C00635000,2025-05-27 19:26:33+00:00,635.0,13.52,12.54,12.64,0.0,0.0,504.0,2988.0,0.16782448394775396,False,REGULAR,USD,2025-12-19,call
SPY251219C00640000,2025-05-28 20:13:44+00:00,640.0,10.8,10.76,10.86,-0.84000015,-7.216496,261.0,9699.0,0.16378094528198245,False,REGULAR,USD,2025-12-19,call
SPY251219C00645000,2025-05-28 20:00:06+00:00,645.0,9.14,9.17,9.26,-0.9899998,-9.772949,345.0,5687.0,0.1599815447998047,False,REGULAR,USD,2025-12-19,call
SPY251219P00530000,2025-05-28 19:48:11+00:00,530.0,13.05,13.23,13.31,0.22000027,1.7147332,145.0,9497.0,0.20888547470092766,False,REGULAR,USD,2025-12-19,put
SPY251219P00535000,2025-05-28 15:05:42+00:00,535.0,13.68,14.09,14.18,0.0,0.0,176.0,4549.0,0.20470460830688475,False,REGULAR,USD,2025-12-19,put
SPY251219P00540000,2025-05-28 20:01:23+00:00,540.0,15.25,15.02,15.1,0.85999966,5.9763703,22.0,12057.0,0.2004474487304687,False,REGULAR,USD,2025-12-19,put
SPY251219P00545000,2025-05-28 18:58:51+00:00,545.0,15.53,15.99,16.08,0.09000015,0.58290255,229.0,6490.0,0.1961445132446289,False,REGULAR,USD,2025-12-19,put
SPY251219P00550000,2025-05-28 19:57:35+00:00,550.0,17.08,17.03,17.12,0.5799999,3.515151,50.0,13317.0,0.19178817253112795,False,REGULAR,USD,2025-12-19,put
SPY251219P00555000,2025-05-28 17:01:44+00:00,555.0,17.64,18.12,18.22,0.11999893,0.6849254,234.0,8591.0,0.1873250213623047,False,REGULAR,USD,2025-12-19,put
SPY251219P00560000,2025-05-28 17:11:19+00:00,560.0,18.55,19.29,19.39,0.0,0.0,70.0,7332.0,0.1828084649658203,False,REGULAR,USD,2025-12-19,put
SPY251219P00565000,2025-05-28 18:43:01+00:00,565.0,19.8,20.53,20.63,-0.060001373,-0.3021217,5.0,5330.0,0.17818509811401367,False,REGULAR,USD,2025-12-19,put
SPY251219P00570000,2025-05-28 18:52:10+00:00,570.0,21.75,21.85,21.96,0.5400009,2.5459733,6.0,6266.0,0.1735312139892578,False,REGULAR,USD,2025-12-19,put
SPY251219P00575000,2025-05-28 19:14:05+00:00,575.0,22.48,23.27,23.38,-0.11000061,-0.4869438,117.0,3301.0,0.16880866600036623,False,REGULAR,USD,2025-12-19,put
SPY251219P00580000,2025-05-28 20:07:52+00:00,580.0,24.7,24.79,24.89,0.94000053,3.956231,175.0,6418.0,0.16396404891967775,False,REGULAR,USD,2025-12-19,put
SPY251219P00585000,2025-05-28 19:56:13+00:00,585.0,26.5,26.39,26.51,1.2800007,5.07534,1080.0,5118.0,0.15906602661132813,False,REGULAR,USD,2025-12-19,put
SPY251219P00590000,2025-05-28 19:58:26+00:00,590.0,28.2,28.12,28.24,1.5799999,5.9353867,116.0,5022.0,0.15405356452941896,True,REGULAR,USD,2025-12-19,put
SPY251219P00595000,2025-05-28 19:58:27+00:00,595.0,30.07,29.98,30.11,1.3199997,4.5913033,127.0,3528.0,0.14902584381103517,True,REGULAR,USD,2025-12-19,put
SPY251219P00600000,2025-05-28 19:56:08+00:00,600.0,32.12,31.98,32.11,1.539999,5.0359683,192.0,6092.0,0.14384553672790526,True,REGULAR,USD,2025-12-19,put
SPY251219P00605000,2025-05-27 18:47:42+00:00,605.0,32.85,33.59,34.77,0.0,0.0,3.0,4555.0,0.14153385330200197,True,REGULAR,USD,2025-12-19,put
SPY251219P00610000,2025-05-28 19:50:12+00:00,610.0,36.3,35.87,37.14,1.2799988,3.6550508,7.0,7348.0,0.1365137619018555,True,REGULAR,USD,2025-12-19,put
SPY251219P00615000,2025-05-27 17:38:04+00:00,615.0,37.77,38.16,39.89,0.0,0.0,9.0,185.0,0.1326685855102539,True,REGULAR,USD,2025-12-19,put
SPY251219P00620000,2025-05-28 17:14:50+00:00,620.0,40.24,40.82,42.71,0.07000351,0.17426814,1.0,2204.0,0.12804521865844726,True,REGULAR,USD,2025-12-19,put
SPY251219P00625000,2025-05-28 17:14:50+00:00,625.0,43.11,43.57,45.9,0.6100006,1.4352956,6.0,225.0,0.1245357322692871,True,REGULAR,USD,2025-12-19,put
SPY251219P00630000,2025-05-27 13:34:06+00:00,630.0,50.35,46.66,49.26,0.0,0.0,1.0,132.0,0.12085840087890626,True,REGULAR,USD,2025-12-19,put
SPY251219P00635000,2025-05-20 18:58:32+00:00,635.0,48.99,49.95,52.92,0.0,0.0,1.0,24.0,0.11800503585815428,True,REGULAR,USD,2025-12-19,put
SPY251219P00640000,2025-05-23 13:30:44+00:00,640.0,65.49,53.54,56.82,0.0,0.0,13.0,325.0,0.1157314990234375,True,REGULAR,USD,2025-12-19,put
SPY251219P00645000,2025-05-27 19:50:11+00:00,645.0,57.27,57.57,60.81,0.0,0.0,3.0,103.0,0.11281709945678711,True,REGULAR,USD,2025-12-19,put
SPY251231C00530000,2025-05-28 16:45:11+00:00,530.0,83.21,79.61,83.05,6.409996,8.346349,3.0,192.0,0.28488111366271973,True,REGULAR,USD,2025-12-31,call
SPY251231C00535000,2025-05-27 18:32:25+00:00,535.0,79.73,75.63,78.96,0.0,0.0,5.0,206.0,0.27895313339233396,True,REGULAR,USD,2025-12-31,call
SPY251231C00536000,2025-05-27 13:30:08+00:00,536.0,75.4,74.81,78.19,0.0,0.0,2.0,17.0,0.2780452445220948,True,REGULAR,USD,2025-12-31,call
SPY251231C00537000,2025-05-21 18:24:20+00:00,537.0,74.33,74.15,77.25,0.0,0.0,1.0,10.0,0.27603873382568356,True,REGULAR,USD,2025-12-31,call
SPY251231C00538000,2025-05-19 18:20:05+00:00,538.0,79.66,73.37,76.43,0.0,0.0,1.0,15.0,0.2747875256347656,True,REGULAR,USD,2025-12-31,call
SPY251231C00539000,2025-05-16 16:49:04+00:00,539.0,77.68,72.58,75.63,0.0,0.0,2.0,28.0,0.27365838653564456,True,REGULAR,USD,2025-12-31,call
SPY251231C00540000,2025-05-28 18:49:43+00:00,540.0,74.95,71.3,75.17,0.51999664,0.6986385,3.0,118.0,0.27465019790649414,True,REGULAR,USD,2025-12-31,call
SPY251231C00541000,2025-05-28 14:09:32+00:00,541.0,74.8,71.02,74.03,1.7900009,2.4517202,1.0,7.0,0.2713543324279785,True,REGULAR,USD,2025-12-31,call
SPY251231C00542000,2025-05-19 17:56:52+00:00,542.0,77.7,70.12,73.35,0.0,0.0,1.0,40.0,0.27094234924316407,True,REGULAR,USD,2025-12-31,call
SPY251231C00543000,2025-05-23 14:56:29+00:00,543.0,64.21,69.28,72.61,0.0,0.0,5.0,23.0,0.2701336415100098,True,REGULAR,USD,2025-12-31,call
SPY251231C00544000,2025-05-23 14:56:29+00:00,544.0,63.43,68.57,71.75,0.0,0.0,5.0,30.0,0.26856200195312496,True,REGULAR,USD,2025-12-31,call
SPY251231C00545000,2025-05-23 19:54:00+00:00,545.0,64.09,67.97,70.77,0.0,0.0,1.0,253.0,0.2662426892089844,True,REGULAR,USD,2025-12-31,call
SPY251231C00546000,2025-05-27 16:24:13+00:00,546.0,70.11,67.14,70.05,0.0,0.0,30.0,40.0,0.2655255332946777,True,REGULAR,USD,2025-12-31,call
SPY251231C00547000,2025-05-08 17:19:06+00:00,547.0,57.06,66.21,69.44,0.0,0.0,1.0,31.0,0.26546449874877925,True,REGULAR,USD,2025-12-31,call
SPY251231C00548000,2025-04-30 13:45:30+00:00,548.0,41.13,65.61,68.48,0.0,0.0,1.0,52.0,0.2632367378234864,True,REGULAR,USD,2025-12-31,call
SPY251231C00549000,2025-04-29 18:36:54+00:00,549.0,46.85,64.73,67.81,0.0,0.0,1.0,3.0,0.2627789787292481,True,REGULAR,USD,2025-12-31,call
SPY251231C00550000,2025-05-28 13:39:31+00:00,550.0,68.93,64.16,66.82,1.4300003,2.118519,2.0,509.0,0.26036811416625977,True,REGULAR,USD,2025-12-31,call
SPY251231C00551000,2025-05-12 13:30:06+00:00,551.0,61.46,63.25,66.22,0.0,0.0,1.0,10.0,0.2602918209838867,True,REGULAR,USD,2025-12-31,call
SPY251231C00552000,2025-05-27 14:23:59+00:00,552.0,64.03,62.59,65.33,0.0,0.0,1.0,9.0,0.25846078460693367,True,REGULAR,USD,2025-12-31,call
SPY251231C00553000,2025-05-13 17:22:14+00:00,553.0,63.52,61.84,64.55,0.0,0.0,5.0,11.0,0.2572858695983887,True,REGULAR,USD,2025-12-31,call
SPY251231C00554000,2025-05-02 14:42:51+00:00,554.0,50.12,61.09,63.78,0.0,0.0,8.0,8.0,0.2561491011810303,True,REGULAR,USD,2025-12-31,call
SPY251231C00555000,2025-05-22 19:08:35+00:00,555.0,61.22,60.2,63.15,0.0,0.0,12.0,420.0,0.25583629913330086,True,REGULAR,USD,2025-12-31,call
SPY251231C00556000,2025-05-19 18:09:41+00:00,556.0,66.52,59.49,62.34,0.0,0.0,1.0,43.0,0.2544325045776368,True,REGULAR,USD,2025-12-31,call
SPY251231C00557000,2025-05-14 15:49:32+00:00,557.0,60.92,58.76,61.58,0.0,0.0,1.0,48.0,0.25331862411499023,True,REGULAR,USD,2025-12-31,call
SPY251231C00558000,2025-05-23 15:08:25+00:00,558.0,53.06,58.01,60.83,0.0,0.0,1.0,88.0,0.25225051956176753,True,REGULAR,USD,2025-12-31,call
SPY251231C00559000,2025-05-06 19:02:16+00:00,559.0,43.83,57.28,60.06,0.0,0.0,8.0,20.0,0.2510450872802734,True,REGULAR,USD,2025-12-31,call
SPY251231C00560000,2025-05-28 19:33:47+00:00,560.0,58.67,56.7,59.27,-1.6000023,-2.6547241,28.0,390.0,0.2497099565887451,True,REGULAR,USD,2025-12-31,call
SPY251231C00561000,2025-05-28 14:18:22+00:00,561.0,58.89,55.8,58.54,6.3899994,12.171428,1.0,45.0,0.2487105158996582,True,REGULAR,USD,2025-12-31,call
SPY251231C00562000,2025-05-21 17:26:04+00:00,562.0,55.7,55.17,57.69,0.0,0.0,1.0,48.0,0.24700154861450196,True,REGULAR,USD,2025-12-31,call
SPY251231C00563000,2025-05-27 13:40:29+00:00,563.0,54.71,54.35,57.04,0.0,0.0,5.0,64.0,0.24643697906494144,True,REGULAR,USD,2025-12-31,call
SPY251231C00564000,2025-05-19 17:28:28+00:00,564.0,61.3,53.62,56.29,0.0,0.0,4.0,365.0,0.2452773226928711,True,REGULAR,USD,2025-12-31,call
